video_id,n_total,n_classified,small_sample,mean_score,low_confidence,truncated,NEG,pct_NEG,NEU,pct_NEU,POS,pct_POS,title,channel_name
n8iP75gIpmw,161,161,False,-0.6703327452266439,18,5,130,0.8074534161490683,23,0.14285714285714285,8,0.049689440993788817,Qué rico come tu diputado,Quorum
j43HgwYFKfk,50,50,False,-0.3412222715746611,7,0,29,0.58,11,0.22,10,0.2,La cooptación de Walter Mazariegos en la USAC,Quorum
6W4u8sGEnGM,45,45,False,-0.10898894687804082,11,1,18,0.4,14,0.3111111111111111,13,0.28888888888888886,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
lj983NWyAQY,25,25,False,0.6051005334313959,3,0,2,0.08,3,0.12,20,0.8,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
PjmxCj-a9Hg,25,25,False,-0.42154515005648135,5,0,17,0.68,4,0.16,4,0.16,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
OkXlHx0hx-8,25,25,False,-0.4623299891036004,8,0,16,0.64,6,0.24,3,0.12,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
yLZS3JiEBg8,16,16,False,-0.23751125134003814,1,1,9,0.5625,2,0.125,5,0.3125,Arroz con pollo a la MONOPOLIO,Quorum
06mFNPU0aB8,14,14,False,-0.17652652109973133,6,0,4,0.2857142857142857,7,0.5,3,0.21428571428571427,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
ndAZjHqzzT8,12,12,False,0.03324115299619734,3,3,4,0.3333333333333333,3,0.25,5,0.4166666666666667,Internet: escoger el menos malo,Quorum
is3Mk5oC19g,7,7,True,-0.6218189904466271,3,0,6,0.8571428571428571,1,0.14285714285714285,0,0.0,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
b_Hkrkl3adA,7,7,True,-0.7589700154161879,0,1,6,0.8571428571428571,1,0.14285714285714285,0,0.0,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
WIUZtitfLRw,6,6,True,-0.5378775859329229,2,0,4,0.6666666666666666,2,0.3333333333333333,0,0.0,Caminar en una ciudad hecha para carros,Quorum
TT4qJ5FXHYE,4,4,True,0.46656977041857317,0,0,1,0.25,0,0.0,3,0.75,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum
JkpVO1hx2f8,3,3,True,0.1573466577877601,1,0,1,0.3333333333333333,0,0.0,2,0.6666666666666666,10 Preguntas a un año del Paro Nacional,Quorum
3Nfp9h5avBI,2,2,True,-0.5193294226191938,0,0,1,0.5,1,0.5,0,0.0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.
X_FAIef8qlE,1,1,True,-0.894237047759816,0,0,1,1.0,0,0.0,0,0.0,Cruzando la ciudad a puro Transmetro,Quorum
UhL9y3KUl8E,1,1,True,0.971550875576213,0,0,0,0.0,0,0.0,1,1.0,SHAI WA: la vecina queer de Casa Presidencial,Quorum
s0eco-BofOs,1,1,True,0.7178556993603706,0,0,0,0.0,0,0.0,1,1.0,¿Quiénes pagan más en Centroamérica?,Quorum
zweosulrwA8,1,1,True,0.5236733332276344,1,0,0,0.0,0,0.0,1,1.0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum
